Won,HomeCourt,HomePointDiff,HomeFT,Home2pt,Home3pt,Def2pt,Def3pt,AwayPointDiff,AwayFT,Away2pt,Away3pt,OppDef2pt,OppDef3pt
1,1,2,18,56,39,518,346,-0,17,62,33,514,361
0,1,1,18,55,44,557,345,1,19,59,40,555,364
1,1,-2,18,62,35,534,362,6,19,53,47,534,358
0,1,-0,16,53,48,547,355,-7,21,55,35,572,355
0,1,-7,18,62,32,565,356,4,18,64,34,504,358
1,1,-4,20,58,32,572,337,-1,18,62,36,535,361
1,1,5,19,58,35,525,363,1,17,62,35,543,349
0,1,-0,20,60,32,579,364,2,18,56,39,517,344
1,1,4,21,63,34,565,333,-6,20,55,35,564,366
1,1,-2,20,65,31,554,343,-0,18,54,37,557,370
1,1,4,20,55,38,546,334,-0,18,53,44,533,367
1,1,-1,19,63,33,528,371,1,19,55,39,542,360
0,1,1,19,59,40,556,362,1,17,62,35,542,349
1,1,3,20,59,36,538,337,-9,15,63,33,574,393
1,1,-1,19,64,32,557,374,4,17,62,36,507,362
1,1,2,17,64,36,569,361,0,18,53,38,533,338
0,1,-6,20,55,35,563,366,1,18,55,44,560,344
0,1,2,19,49,45,552,357,5,19,53,47,537,362
0,1,-4,20,58,32,568,339,5,18,64,34,504,356
0,1,5,21,63,34,565,332,4,16,62,36,509,363
1,1,-0,18,54,44,533,367,1,19,55,38,543,361
1,1,3,17,63,36,568,355,5,19,58,35,523,363
0,1,4,20,55,38,546,335,-1,19,64,32,557,373
0,1,2,18,56,39,514,340,-7,18,62,32,565,355
0,1,-0,20,60,32,576,364,3,20,59,36,539,339
1,1,-1,18,62,36,537,361,-1,18,62,32,517,359
0,1,1,17,62,35,541,349,-0,18,54,37,558,369
1,1,-1,19,63,33,528,369,-1,18,53,38,534,339
1,1,-1,20,65,31,554,342,1,17,62,35,541,349
1,1,-9,16,63,33,573,391,-7,21,55,35,573,356
1,1,2,19,49,44,554,358,4,21,62,34,561,335
1,1,-1,19,64,32,554,374,1,18,55,44,558,344
0,1,-0,16,53,48,546,357,-4,20,58,32,570,339
0,1,-9,16,63,33,572,390,6,19,53,47,536,358
0,1,1,19,59,39,558,362,-1,20,65,31,553,340
0,1,-7,20,55,35,564,367,-1,19,63,33,527,369
1,1,5,18,64,34,506,355,1,18,55,44,558,347
1,1,-0,20,60,32,574,365,0,19,55,38,543,359
0,1,-7,21,56,35,575,356,3,19,55,38,547,341
1,1,-1,18,62,36,538,360,2,19,49,44,555,353
0,1,-0,18,54,37,556,366,4,17,62,37,506,365
1,1,-0,19,54,43,532,365,-6,17,62,33,563,357
0,1,-1,18,54,37,539,340,0,17,62,35,542,350
0,1,0,17,62,35,540,350,5,19,58,35,524,366
0,1,-1,18,62,32,517,361,4,21,63,34,563,338
1,1,5,18,64,34,509,354,-9,16,64,33,571,391
1,1,6,19,53,47,536,356,-0,19,64,32,556,372
0,1,3,20,59,36,537,339,1,18,55,39,517,342
1,1,1,20,59,39,561,363,-3,20,58,32,568,338
1,1,3,17,63,36,566,356,-1,20,65,31,554,343
1,1,-0,18,54,37,558,366,-0,18,62,36,537,360
1,1,0,20,60,32,573,364,-6,18,61,33,562,356
0,1,0,19,55,38,541,359,-4,20,58,32,568,342
1,1,4,19,55,38,547,342,-7,21,56,35,576,355
1,1,-1,18,54,37,540,339,1,20,49,44,554,355
1,1,1,18,56,44,556,348,5,19,58,35,521,370
0,1,-1,16,53,48,546,358,0,17,62,35,542,351
1,1,3,20,58,36,536,340,0,19,54,43,531,364
1,1,2,19,59,40,562,362,-7,19,55,35,563,367
1,1,6,19,53,46,536,356,4,21,63,34,563,340
0,1,0,17,62,35,541,351,1,18,55,40,515,340
1,1,-8,21,56,35,579,355,-0,19,63,33,526,367
1,1,5,18,64,34,509,354,-9,16,64,33,570,392
1,1,-1,18,62,32,519,362,-1,19,64,32,557,370
1,1,3,17,63,37,565,354,0,17,62,35,541,351
1,1,-0,18,53,37,559,363,1,17,55,40,515,341
1,1,0,20,59,32,575,365,-6,17,62,33,561,359
0,1,0,19,56,37,542,360,5,19,58,35,521,368
0,1,4,20,56,38,544,342,-0,18,62,36,535,358
0,1,4,16,62,37,504,365,6,19,53,46,537,356
0,1,-1,20,65,31,554,343,1,20,48,44,553,356
0,1,-7,21,56,35,578,358,4,20,63,34,565,340
0,1,-1,18,62,32,520,361,3,20,58,36,538,339
1,1,-1,19,62,34,529,371,-0,17,62,35,542,352
1,1,2,20,59,40,561,363,-7,19,55,35,563,367
1,1,1,19,56,43,557,346,-4,20,58,32,571,338
0,1,-1,18,64,32,556,368,0,18,62,36,535,357
0,1,-1,18,54,37,541,338,4,17,63,37,563,352
0,1,-8,16,64,33,568,398,-1,16,52,48,544,360
0,1,-0,19,54,43,531,364,-0,17,62,35,542,352
1,1,-1,19,63,33,527,377,5,19,59,34,524,367
1,1,-0,19,56,37,542,359,1,20,49,44,551,353
0,1,1,20,59,32,576,366,-0,17,62,35,542,351
0,1,-6,17,61,33,562,359,6,19,53,46,537,357
0,1,-0,19,54,42,529,367,5,18,64,34,509,353
1,1,-0,18,54,37,557,364,1,17,54,41,515,339
0,1,1,19,56,43,555,347,4,20,56,38,545,344
1,1,-1,18,54,37,541,340,-8,19,55,35,564,370
0,1,4,16,61,37,506,364,1,18,62,36,535,356
0,1,-1,20,65,31,555,343,4,20,56,38,547,343
1,1,4,17,63,37,563,352,-4,20,58,32,570,337
0,1,-7,21,56,35,577,358,3,20,58,36,536,339
0,1,-9,16,64,33,571,397,3,20,59,41,561,362
1,1,0,19,56,37,543,362,1,19,49,44,554,354
1,1,-1,18,63,32,557,368,-0,16,53,49,543,360
0,1,-1,18,62,32,520,359,-1,16,52,49,544,361
1,1,1,17,54,41,515,343,-1,19,54,42,531,367
0,1,-0,19,63,33,529,375,1,19,56,43,553,349
1,1,4,19,59,34,528,366,4,21,63,34,566,337
