Rk,Player,MP,Date,Age,Team,Unnamed: 6,Opp,Result,GS,MP.1,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,+/-,Pos.,Player-additional
63,Adam Mokoka,17,2020-12-23,22-158,CHI,,ATL,L 104-124,,17,2,6,.333,2,3,.667,0,3,.000,0,0,,.333,1,1,2,2,1,1,0,1,4,4.3,-1.1,6,G,mokokad01
64,Dylan Windler,9,2020-12-23,24-092,CLE,,CHO,W 121-114,,9,1,5,.200,0,1,.000,1,4,.250,0,0,,.300,0,0,0,0,2,0,1,0,3,0.9,-11.2,-4,G-F,windldy01
65,JaVale McGee,19,2020-12-23,32-339,CLE,,CHO,W 121-114,,19,6,7,.857,6,6,1.000,0,1,.000,1,1,1.000,.874,1,6,7,1,1,1,1,3,13,13.2,5.8,12,C,mcgeeja01
66,Nathan Knight,5,2020-12-23,23-094,ATL,@,CHI,W 124-104,,5,0,2,.000,0,2,.000,0,0,,0,0,,.000,2,1,3,0,0,0,2,2,0,-2.5,-39.4,-12,F-C,knighna01
67,Tobias Harris,31,2020-12-23,28-161,PHI,,WAS,W 113-107,*,31,3,13,.231,3,9,.333,0,4,.000,4,4,1.000,.339,4,4,8,0,0,1,2,4,10,3.2,-12.3,-7,F,harrito02
68,Maurice Harkless,23,2020-12-23,27-226,MIA,@,ORL,L 107-113,*,23,1,4,.250,0,2,.000,1,2,.500,0,0,,.375,0,2,2,1,0,0,0,0,3,1.9,-4.2,-4,F-G,harklma01
69,Duncan Robinson,30,2020-12-23,26-245,MIA,@,ORL,L 107-113,*,30,4,8,.500,1,2,.500,3,6,.500,3,3,1.000,.751,0,5,5,1,0,0,1,2,14,10.4,0.9,-5,G-F,robindu01
70,Troy Brown Jr.,22,2020-12-23,21-148,WAS,@,PHI,L 107-113,,22,1,3,.333,0,1,.000,1,2,.500,0,0,,.500,0,3,3,1,0,0,0,2,3,2.1,-3.3,-23,G-F,browntr01
71,Aaron Gordon,26,2020-12-23,25-098,ORL,,MIA,W 113-107,*,26,8,11,.727,7,7,1.000,1,4,.250,3,6,.500,.733,3,4,7,0,4,0,2,4,20,18.0,9.4,17,F,gordoaa01
72,Michael Porter Jr.,30,2020-12-23,22-177,DEN,,SAC,L 122-124 (OT),*,30,9,15,.600,6,8,.750,3,7,.429,3,3,1.000,.735,1,4,5,2,2,3,2,3,24,21.3,13.5,0,F,portemi01
73,Udoka Azubuike,4,2020-12-23,21-097,UTA,@,POR,W 120-100,,4,1,1,1.000,1,1,1.000,0,0,,0,0,,1.000,1,0,1,0,0,0,0,0,2,2.4,10.1,0,C,azubuud01
74,Shake Milton,30,2020-12-23,24-088,PHI,,WAS,W 113-107,,30,6,11,.545,4,7,.571,2,4,.500,5,7,.714,.675,0,1,1,3,3,0,0,3,19,17.1,9.2,33,G,miltosh01
75,Khris Middleton,38,2020-12-23,29-133,MIL,@,BOS,L 121-122,*,38,10,20,.500,7,12,.583,3,8,.375,4,4,1.000,.620,2,12,14,8,0,0,2,2,27,24.8,7.1,7,F-G,middlkh01
76,Bojan Bogdanović,33,2020-12-23,31-249,UTA,@,POR,W 120-100,*,33,5,14,.357,1,3,.333,4,11,.364,1,1,1.000,.519,1,5,6,2,0,0,3,2,15,7.0,-3.2,22,G-F,bogdabo02
77,Jalen McDaniels,6,2020-12-23,22-327,CHO,@,CLE,L 114-121,,6,1,2,.500,1,2,.500,0,0,,0,0,,.500,1,0,1,0,1,0,1,0,2,1.7,-5.4,-5,F,mcdanja01
78,Dejounte Murray,31,2020-12-23,24-095,SAS,@,MEM,W 131-119,*,31,9,15,.600,8,12,.667,1,3,.333,2,2,1.000,.661,0,6,6,9,2,0,3,3,21,20.0,6.6,6,G,murrade01
79,Marvin Bagley III,27,2020-12-23,21-284,SAC,@,DEN,W 124-122 (OT),*,27,5,15,.333,5,11,.455,0,4,.000,3,4,.750,.388,2,8,10,0,0,1,2,6,13,4.2,-12.5,2,F-C,baglema01
80,Markelle Fultz,29,2020-12-23,22-208,ORL,,MIA,W 113-107,*,29,6,15,.400,6,12,.500,0,3,.000,3,3,1.000,.460,0,5,5,4,1,1,4,4,15,7.3,-7.8,3,G,fultzma01
81,Harry Giles,4,2020-12-23,22-245,POR,,UTA,L 100-120,,4,1,2,.500,0,1,.000,1,1,1.000,0,0,,.750,0,2,2,0,0,1,0,1,3,2.9,15.2,0,F-C,gilesha01
82,Will Barton,33,2020-12-23,29-352,DEN,,SAC,L 122-124 (OT),,33,7,16,.438,6,13,.462,1,3,.333,1,2,.500,.474,0,2,2,4,2,1,0,2,16,12.5,1.4,1,G,bartowi01
83,Donovan Mitchell,31,2020-12-23,24-107,UTA,@,POR,W 120-100,*,31,6,16,.375,2,6,.333,4,10,.400,4,4,1.000,.563,0,3,3,5,1,0,2,2,20,13.8,4.8,11,G,mitchdo01
84,Miles Bridges,22,2020-12-23,22-277,CHO,@,CLE,L 114-121,,22,3,10,.300,3,5,.600,0,5,.000,0,0,,.300,1,5,6,1,1,0,0,1,6,3.7,-11.6,6,G-F,bridgmi02
85,DeAndre' Bembry,6,2020-12-23,26-172,TOR,,NOP,L 99-113,,6,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,1,1,0,0,-0.3,-7.3,4,F,bembrde01
86,Kyle Lowry,39,2020-12-23,34-273,TOR,,NOP,L 99-113,*,39,7,15,.467,3,6,.500,4,9,.444,0,0,,.600,1,0,1,10,1,0,6,3,18,11.8,-0.2,-1,G,lowryky01
87,Malik Beasley,27,2020-12-23,24-027,MIN,,DET,W 111-101,*,27,10,18,.556,7,9,.778,3,9,.333,0,0,,.639,1,3,4,2,1,0,1,3,23,16.2,6.5,12,G,beaslma01
88,D.J. Wilson,13,2020-12-23,24-308,MIL,@,BOS,L 121-122,,13,0,2,.000,0,0,,0,2,.000,0,0,,.000,0,5,5,1,0,1,1,2,0,-0.3,-8.4,-6,F,wilsodj01
89,Furkan Korkmaz,20,2020-12-23,23-152,PHI,,WAS,W 113-107,,20,4,9,.444,1,3,.333,3,6,.500,0,0,,.611,0,1,1,0,1,2,2,1,11,6.6,3.8,14,G,korkmfu01
90,Stanley Johnson,1,2020-12-23,24-208,TOR,,NOP,L 99-113,,1,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-7.4,2,F,johnsst04
91,Jarrett Culver,21,2020-12-23,21-307,MIN,,DET,W 111-101,,21,3,6,.500,3,5,.600,0,1,.000,4,5,.800,.610,2,8,10,2,0,0,0,0,10,11.8,5.2,7,G,culveja01
92,Nemanja Bjelica,16,2020-12-23,32-228,SAC,@,DEN,W 124-122 (OT),,16,3,8,.375,3,7,.429,0,1,.000,4,4,1.000,.512,3,1,4,2,0,0,1,3,10,7.2,-0.7,-4,F,bjeline01
93,Robert Covington,21,2020-12-23,30-009,POR,,UTA,L 100-120,*,21,0,3,.000,0,0,,0,3,.000,1,2,.500,.129,0,4,4,3,1,0,0,2,1,2.0,-5.0,-18,F-C,covinro01
94,Doug McDermott,28,2020-12-23,28-355,IND,,NYK,W 121-107,,28,5,12,.417,5,6,.833,0,6,.000,3,4,.750,.472,1,5,6,2,1,0,1,2,13,9.0,-3.0,6,F,mcderdo01
95,Paul Millsap,36,2020-12-23,35-317,DEN,,SAC,L 122-124 (OT),*,36,7,13,.538,5,8,.625,2,5,.400,0,0,,.615,2,5,7,3,0,0,1,3,16,12.5,0.2,-6,F,millspa01
96,Isaac Bonga,17,2020-12-23,21-045,WAS,@,PHI,L 107-113,*,17,2,3,.667,1,2,.500,1,1,1.000,0,1,.000,.727,1,2,3,2,2,0,1,2,5,6.2,7.8,7,G,bongais01
97,Buddy Hield,41,2020-12-23,28-006,SAC,@,DEN,W 124-122 (OT),*,41,7,15,.467,2,4,.500,5,11,.455,3,3,1.000,.674,1,3,4,3,1,0,3,5,22,14.0,2.4,-2,G-F,hieldbu01
98,Ja Morant,35,2020-12-23,21-135,MEM,,SAS,L 119-131,*,35,18,27,.667,17,25,.680,1,2,.500,7,8,.875,.721,0,2,2,9,2,1,1,1,44,40.1,18.8,10,G,moranja01
99,Isaiah Hartenstein,9,2020-12-23,22-232,DEN,,SAC,L 122-124 (OT),,9,3,6,.500,3,6,.500,0,0,,0,0,,.500,2,1,3,0,0,2,2,4,6,2.5,-14.3,-1,F,harteis01
100,Cam Reddish,24,2020-12-23,21-113,ATL,@,CHI,W 124-104,*,24,6,11,.545,5,8,.625,1,3,.333,2,2,1.000,.631,1,5,6,0,2,0,1,3,15,11.7,2.7,27,F,reddica01
101,Juancho Hernangómez,12,2020-12-23,25-086,MIN,,DET,W 111-101,,12,0,5,.000,0,1,.000,0,4,.000,0,0,,.000,0,3,3,0,1,0,0,0,0,-1.6,-18.4,-7,F,hernaju01
102,Precious Achiuwa,14,2020-12-23,21-095,MIA,@,ORL,L 107-113,,14,3,4,.750,3,4,.750,0,0,,2,4,.500,.694,1,2,3,0,0,0,0,2,8,6.1,-0.4,6,F,achiupr01
103,Tyler Herro,32,2020-12-23,20-338,MIA,@,ORL,L 107-113,*,32,6,14,.429,5,9,.556,1,5,.200,0,0,,.464,0,6,6,4,0,0,4,3,13,5.0,-8.6,-7,G,herroty01
104,Dwayne Bacon,19,2020-12-23,25-115,ORL,,MIA,W 113-107,*,19,0,5,.000,0,4,.000,0,1,.000,0,0,,.000,0,3,3,3,0,0,0,2,0,-1.3,-12.4,0,G,bacondw01
105,Rudy Gay,21,2020-12-23,34-128,SAS,@,MEM,W 131-119,,21,4,9,.444,3,4,.750,1,5,.200,1,2,.500,.506,0,7,7,1,0,3,1,1,10,8.4,-0.3,14,F,gayru01
106,Patty Mills,19,2020-12-23,32-134,SAS,@,MEM,W 131-119,,19,5,11,.455,3,7,.429,2,4,.500,1,1,1.000,.568,0,2,2,2,0,0,0,4,13,7.7,-4.0,13,G,millspa02
107,Gordon Hayward,36,2020-12-23,30-275,CHO,@,CLE,L 114-121,*,36,11,18,.611,7,10,.700,4,8,.500,2,2,1.000,.742,0,4,4,7,1,0,3,4,28,22.3,5.6,-2,F-G,haywago01
108,T.J. Warren,23,2020-12-23,27-109,IND,,NYK,W 121-107,*,23,2,8,.250,2,6,.333,0,2,.000,1,1,1.000,.296,0,1,1,1,0,0,0,2,5,0.4,-10.9,6,F,warretj01
109,Evan Fournier,31,2020-12-23,28-055,ORL,,MIA,W 113-107,*,31,9,13,.692,6,8,.750,3,5,.600,4,5,.800,.822,0,0,0,4,3,0,2,2,25,22.1,13.2,0,G-F,fournev01
110,Mason Plumlee,32,2020-12-23,30-293,DET,@,MIN,L 101-111,*,32,7,8,.875,7,8,.875,0,0,,0,0,,.875,1,7,8,6,0,0,0,4,14,16.6,7.9,-9,C-F,plumlma01
111,Frank Ntilikina,5,2020-12-23,22-148,NYK,@,IND,L 107-121,,5,0,2,.000,0,1,.000,0,1,.000,1,2,.500,.174,0,0,0,0,1,0,0,1,1,-0.2,-14.1,-5,G,ntilila01
112,Donte DiVincenzo,27,2020-12-23,23-327,MIL,@,BOS,L 121-122,*,27,6,11,.545,3,7,.429,3,4,.750,0,0,,.682,2,3,5,3,2,0,1,3,15,13.9,8.1,4,G,divindo01
113,CJ McCollum,34,2020-12-23,29-095,POR,,UTA,L 100-120,*,34,7,19,.368,4,11,.364,3,8,.375,6,6,1.000,.531,1,3,4,3,0,1,0,3,23,15.7,3.1,-11,G,mccolcj01
114,Josh Hart,27,2020-12-23,25-292,NOP,@,TOR,W 113-99,,27,2,5,.400,1,1,1.000,1,4,.250,1,3,.333,.475,1,4,5,1,2,0,2,2,6,4.3,-4.7,8,G,hartjo01
115,Justin Holiday,22,2020-12-23,31-262,IND,,NYK,W 121-107,,22,2,6,.333,1,1,1.000,1,5,.200,1,2,.500,.436,0,4,4,0,0,1,1,2,6,2.3,-6.4,-1,F,holidju01
116,Cody Martin,21,2020-12-23,25-086,CHO,@,CLE,L 114-121,,21,2,3,.667,2,3,.667,0,0,,1,1,1.000,.727,1,4,5,4,0,0,0,1,5,8.0,2.0,2,G-F,martico01
117,Joe Ingles,27,2020-12-23,33-082,UTA,@,POR,W 120-100,,27,5,10,.500,2,2,1.000,3,8,.375,1,1,1.000,.670,0,5,5,7,1,1,1,0,14,16.1,14.8,14,F-G,inglejo01
118,Bogdan Bogdanović,25,2020-12-23,28-127,ATL,@,CHI,W 124-104,,25,5,12,.417,2,4,.500,3,8,.375,2,3,.667,.563,0,7,7,2,1,0,2,2,15,9.9,-0.1,0,G,bogdabo01
119,Damian Lillard,34,2020-12-23,30-161,POR,,UTA,L 100-120,*,34,4,12,.333,3,5,.600,1,7,.143,0,1,.000,.362,0,4,4,7,1,1,1,1,9,8.2,-3.5,-21,G,lillada01
120,Jahlil Okafor,15,2020-12-23,25-008,DET,@,MIN,L 101-111,,15,4,7,.571,4,7,.571,0,0,,0,0,,.571,4,3,7,1,0,0,2,4,8,5.5,-6.8,-1,C-F,okafoja01
121,Bryn Forbes,14,2020-12-23,27-153,MIL,@,BOS,L 121-122,,14,1,5,.200,0,1,.000,1,4,.250,0,0,,.300,0,1,1,0,0,0,0,1,3,-0.2,-12.8,4,G,forbebr01
122,Kevin Huerter,27,2020-12-23,22-118,ATL,@,CHI,W 124-104,,27,4,10,.400,2,4,.500,2,6,.333,1,2,.500,.506,0,2,2,4,1,0,0,2,11,8.8,1.5,0,G,huertke01
