Rk,Team,Date,PTS,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
771,ORL,2021-03-26,105,,POR,L 105-112,240,42,95,.442,30,68,.441,12,27,.444,9,17,.529,105,40,85,.471,22,45,.489,18,40,.450,14,21,.667,112
772,CLE,2021-03-22,105,,SAC,L 105-119,240,41,96,.427,37,79,.468,4,17,.235,19,23,.826,105,49,90,.544,36,60,.600,13,30,.433,8,12,.667,119
773,DAL,2021-03-17,105,,LAC,W 105-89,240,40,79,.506,25,45,.556,15,34,.441,10,12,.833,105,37,88,.420,28,56,.500,9,32,.281,6,11,.545,89
774,PHI,2021-03-17,105,,MIL,L 105-109 (OT),265,43,109,.394,29,68,.426,14,41,.341,5,8,.625,105,41,101,.406,32,62,.516,9,39,.231,18,24,.750,109
775,LAL,2021-03-12,105,,IND,W 105-100,240,34,76,.447,27,54,.500,7,22,.318,30,39,.769,105,37,88,.420,29,52,.558,8,36,.222,18,21,.857,100
776,NOP,2021-03-11,105,,MIN,L 105-135,240,43,100,.430,37,68,.544,6,32,.188,13,24,.542,105,51,95,.537,32,55,.582,19,40,.475,14,16,.875,135
777,CHI,2021-03-11,105,,PHI,L 105-127,240,39,83,.470,25,54,.463,14,29,.483,13,16,.813,105,53,103,.515,43,70,.614,10,33,.303,11,15,.733,127
778,CHO,2021-03-11,105,,DET,W 105-102,240,36,90,.400,26,60,.433,10,30,.333,23,24,.958,105,38,85,.447,23,39,.590,15,46,.326,11,14,.786,102
779,TOR,2021-03-03,105,,DET,L 105-129,240,34,77,.442,22,41,.537,12,36,.333,25,30,.833,105,48,91,.527,28,50,.560,20,41,.488,13,21,.619,129
780,MIL,2021-02-28,105,,LAC,W 105-100,240,38,85,.447,26,47,.553,12,38,.316,17,22,.773,105,40,97,.412,26,53,.491,14,44,.318,6,7,.857,100
781,ORL,2021-02-21,105,,DET,W 105-96,240,35,81,.432,26,51,.510,9,30,.300,26,29,.897,105,34,91,.374,23,51,.451,11,40,.275,17,21,.810,96
782,CHI,2021-02-17,105,,DET,W 105-102,240,41,85,.482,33,57,.579,8,28,.286,15,24,.625,105,37,82,.451,29,54,.537,8,28,.286,20,24,.833,102
783,SAS,2021-02-08,105,,GSW,W 105-100,240,39,96,.406,28,65,.431,11,31,.355,16,19,.842,105,38,86,.442,25,49,.510,13,37,.351,11,15,.733,100
784,CLE,2021-02-05,105,,MIL,L 105-123,240,41,92,.446,30,60,.500,11,32,.344,12,16,.750,105,50,97,.515,43,75,.573,7,22,.318,16,22,.727,123
785,PHI,2021-02-04,105,,POR,L 105-121,240,39,81,.481,32,54,.593,7,27,.259,20,24,.833,105,45,98,.459,32,67,.478,13,31,.419,18,23,.783,121
786,DAL,2021-01-30,105,,PHO,L 105-111,240,44,83,.530,35,54,.648,9,29,.310,8,14,.571,105,37,81,.457,27,59,.458,10,22,.455,27,31,.871,111
787,MIA,2021-01-30,105,,SAC,W 105-104,240,36,77,.468,25,45,.556,11,32,.344,22,26,.846,105,41,85,.482,24,40,.600,17,45,.378,5,11,.455,104
