Rk,Player,MP,Date,Age,Team,Unnamed: 6,Opp,Result,GS,MP.1,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,+/-,Pos.,Player-additional
10085,Mason Plumlee,22,2019-12-29,29-299,DEN,,SAC,W 120-115,,22,3,4,.750,3,4,.750,0,0,,9,10,.900,.893,2,4,6,2,0,0,2,3,15,13.8,5.6,-3,C-F,plumlma01
10086,Jakob Poeltl,22,2020-08-09,24-299,SAS,@,NOP,W 122-113,*,22,2,4,.500,2,4,.500,0,0,,0,0,,.500,5,9,14,1,2,0,3,5,4,5.9,-4.8,4,C,poeltja01
10087,Jakob Poeltl,22,2019-11-27,24-043,SAS,,MIN,L 101-113,*,22,2,2,1.000,2,2,1.000,0,0,,0,0,,1.000,1,7,8,1,0,4,0,3,4,8.5,3.1,6,C,poeltja01
10088,Jakob Poeltl,22,2020-01-29,24-106,SAS,,UTA,W 127-120,*,22,2,2,1.000,2,2,1.000,0,0,,0,0,,1.000,2,6,8,5,0,1,0,2,4,10.0,11.7,13,C,poeltja01
10089,Jordan Poole,22,2020-01-22,20-217,GSW,,UTA,L 96-129,,22,0,6,.000,0,5,.000,0,1,.000,2,2,1.000,.145,0,1,1,2,0,1,0,1,2,-0.2,-14.0,-7,G,poolejo01
10090,Jordan Poole,22,2020-03-03,20-258,GSW,@,DEN,W 116-100,,22,4,7,.571,0,1,.000,4,6,.667,3,4,.750,.856,0,3,3,6,1,0,0,1,15,17.0,18.2,0,G,poolejo01
10091,Jordan Poole,22,2019-11-15,20-149,GSW,,BOS,L 100-105,,22,1,8,.125,1,3,.333,0,5,.000,2,2,1.000,.225,0,6,6,1,1,0,1,4,4,-0.3,-11.8,-4,G,poolejo01
10092,Jordan Poole,22,2019-11-27,20-161,GSW,,CHI,W 104-90,,22,2,6,.333,2,2,1.000,0,4,.000,2,3,.667,.410,0,3,3,2,0,0,3,2,6,0.7,-15.7,7,G,poolejo01
10093,Kevin Porter Jr.,22,2019-11-22,19-202,CLE,@,DAL,L 101-143,,22,4,9,.444,4,8,.500,0,1,.000,1,1,1.000,.477,0,3,3,2,1,0,0,2,9,6.8,-6.1,-27,G,porteke02
10094,Kevin Porter Jr.,22,2019-12-03,19-213,CLE,,DET,L 94-127,,22,5,11,.455,3,7,.429,2,4,.500,0,0,,.545,2,5,7,1,0,0,1,0,12,8.9,-0.8,-24,G,porteke02
10095,Michael Porter Jr.,22,2020-01-28,21-213,DEN,@,MEM,L 96-104,,22,3,9,.333,1,5,.200,2,4,.500,0,0,,.444,2,2,4,1,3,0,0,0,8,8.6,5.0,-6,F,portemi01
10096,Michael Porter Jr.,22,2020-02-25,21-241,DEN,,DET,W 115-98,,22,6,9,.667,5,6,.833,1,3,.333,0,0,,.722,2,6,8,1,0,0,2,1,13,10.6,-0.7,9,F,portemi01
10097,Bobby Portis,22,2019-11-16,24-279,NYK,,CHO,L 102-103,,22,5,10,.500,3,8,.375,2,2,1.000,2,2,1.000,.643,0,2,2,1,1,0,0,2,14,10.5,6.4,-2,F,portibo01
10098,Bobby Portis,22,2020-02-01,24-356,NYK,@,IND,W 92-85,,22,2,6,.333,1,3,.333,1,3,.333,0,0,,.417,1,6,7,1,0,1,1,1,5,4.1,-1.1,3,F,portibo01
10099,Bobby Portis,22,2020-02-27,25-017,NYK,@,PHI,L 106-115,*,22,3,8,.375,2,3,.667,1,5,.200,0,0,,.438,0,1,1,0,0,0,1,1,7,1.5,-13.5,-18,F,portibo01
10100,Norman Powell,22,2019-10-25,26-153,TOR,@,BOS,L 106-112,,22,2,3,.667,1,1,1.000,1,2,.500,2,2,1.000,.902,0,4,4,1,0,0,2,1,7,5.2,0.7,-2,G,powelno01
