Rk,Team,Date,PTS,Unnamed: 4,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS.1,FG.1,FGA.1,FG%.1,2P.1,2PA.1,2P%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,PTS.2
47,OKC,2023-10-30,124,,DET,W 124-112,240,44,83,0.53,31,54,0.574,13,29,0.448,23,28,0.821,124,39,91,0.429,24,63,0.381,15,28,0.536,19,24,0.792,112
48,ATL,2023-10-30,127,,MIN,W 127-113,240,48,86,0.558,34,56,0.607,14,30,0.467,17,18,0.944,127,44,90,0.489,28,57,0.491,16,33,0.485,9,15,0.6,113
49,NOP,2023-10-30,102,,GSW,L 102-130,240,38,93,0.409,28,54,0.519,10,39,0.256,16,26,0.615,102,51,98,0.52,36,57,0.632,15,41,0.366,13,20,0.65,130
50,MEM,2023-10-30,110,,DAL,L 110-125,240,42,92,0.457,28,55,0.509,14,37,0.378,12,20,0.6,110,42,84,0.5,19,37,0.514,23,47,0.489,18,24,0.75,125
51,LAL,2023-10-30,106,,ORL,W 106-103,240,42,79,0.532,34,52,0.654,8,27,0.296,14,18,0.778,106,38,95,0.4,24,60,0.4,14,35,0.4,13,18,0.722,103
52,CLE,2023-10-31,91,,NYK,L 91-109,240,36,92,0.391,26,54,0.481,10,38,0.263,9,12,0.75,91,38,86,0.442,25,52,0.481,13,34,0.382,20,25,0.8,109
53,PHO,2023-10-31,114,,SAS,L 114-115,240,42,83,0.506,24,44,0.545,18,39,0.462,12,15,0.8,114,43,92,0.467,29,55,0.527,14,37,0.378,15,20,0.75,115
54,LAC,2023-10-31,118,,ORL,W 118-102,240,44,89,0.494,30,58,0.517,14,31,0.452,16,23,0.696,118,38,81,0.469,31,51,0.608,7,30,0.233,19,33,0.576,102
55,DAL,2023-11-01,114,,CHI,W 114-105,240,37,81,0.457,17,33,0.515,20,48,0.417,20,28,0.714,114,42,89,0.472,31,56,0.554,11,33,0.333,10,11,0.909,105
56,NYK,2023-11-01,89,,CLE,L 89-95,240,32,92,0.348,27,62,0.435,5,30,0.167,20,30,0.667,89,32,74,0.432,20,42,0.476,12,32,0.375,19,20,0.95,95
57,HOU,2023-11-01,128,,CHO,W 128-119,240,44,84,0.524,23,47,0.489,21,37,0.568,19,23,0.826,128,45,90,0.5,34,63,0.54,11,27,0.407,18,25,0.72,119
58,DET,2023-11-01,101,,POR,L 101-110,240,40,90,0.444,29,61,0.475,11,29,0.379,10,11,0.909,101,38,81,0.469,31,61,0.508,7,20,0.35,27,33,0.818,110
59,BOS,2023-11-01,155,,IND,W 155-104,240,54,95,0.568,34,60,0.567,20,35,0.571,27,28,0.964,155,46,101,0.455,41,64,0.641,5,37,0.135,7,12,0.583,104
60,UTA,2023-11-01,133,,MEM,W 133-109,240,47,87,0.54,25,44,0.568,22,43,0.512,17,24,0.708,133,35,96,0.365,21,42,0.5,14,54,0.259,25,32,0.781,109
61,TOR,2023-11-01,130,,MIL,W 130-111,240,51,91,0.56,36,53,0.679,15,38,0.395,13,14,0.929,130,35,76,0.461,22,42,0.524,13,34,0.382,28,38,0.737,111
62,MIA,2023-11-01,105,,BRK,L 105-109,240,39,91,0.429,26,53,0.491,13,38,0.342,14,18,0.778,105,37,82,0.451,21,46,0.457,16,36,0.444,19,26,0.731,109
63,GSW,2023-11-01,102,,SAC,W 102-101,240,39,81,0.481,28,50,0.56,11,31,0.355,13,15,0.867,102,36,88,0.409,25,53,0.472,11,35,0.314,18,23,0.783,101
64,ATL,2023-11-01,130,,WAS,W 130-121,240,46,92,0.5,37,60,0.617,9,32,0.281,29,32,0.906,130,51,101,0.505,41,61,0.672,10,40,0.25,9,14,0.643,121
65,OKC,2023-11-01,106,,NOP,L 106-110,240,38,88,0.432,31,54,0.574,7,34,0.206,23,25,0.92,106,40,102,0.392,27,60,0.45,13,42,0.31,17,29,0.586,110
66,MIN,2023-11-01,110,,DEN,W 110-89,240,38,83,0.458,30,62,0.484,8,21,0.381,26,27,0.963,110,38,96,0.396,32,63,0.508,6,33,0.182,7,10,0.7,89
67,LAL,2023-11-01,130,,LAC,W 130-125 (OT),265,46,90,0.511,35,58,0.603,11,32,0.344,27,36,0.75,130,47,99,0.475,33,65,0.508,14,34,0.412,17,27,0.63,125
68,PHO,2023-11-02,121,,SAS,L 121-132,240,43,80,0.538,27,48,0.563,16,32,0.5,19,26,0.731,121,51,98,0.52,33,61,0.541,18,37,0.486,12,13,0.923,132
69,UTA,2023-11-02,113,,ORL,L 113-115,240,41,89,0.461,29,56,0.518,12,33,0.364,19,26,0.731,113,39,85,0.459,29,56,0.518,10,29,0.345,27,36,0.75,115
70,PHI,2023-11-02,114,,TOR,W 114-99,240,42,92,0.457,33,67,0.493,9,25,0.36,21,25,0.84,114,38,79,0.481,28,51,0.549,10,28,0.357,13,19,0.684,99
71,NOP,2023-11-02,125,,DET,W 125-116,240,39,80,0.488,25,48,0.521,14,32,0.438,33,35,0.943,125,41,94,0.436,28,56,0.5,13,38,0.342,21,26,0.808,116
72,POR,2023-11-03,115,,MEM,W 115-113 (OT),265,39,96,0.406,30,64,0.469,9,32,0.281,28,36,0.778,115,47,96,0.49,37,61,0.607,10,35,0.286,9,13,0.692,113
73,CHI,2023-11-03,107,,BRK,L 107-109,240,43,89,0.483,32,61,0.525,11,28,0.393,10,14,0.714,107,44,96,0.458,26,51,0.51,18,45,0.4,3,5,0.6,109
74,IND,2023-11-03,121,,CLE,W 121-116,240,45,86,0.523,30,55,0.545,15,31,0.484,16,24,0.667,121,44,84,0.524,36,56,0.643,8,28,0.286,20,25,0.8,116
75,MIA,2023-11-03,121,,WAS,W 121-114,240,48,80,0.6,35,53,0.66,13,27,0.481,12,14,0.857,121,46,81,0.568,33,53,0.623,13,28,0.464,9,17,0.529,114
76,OKC,2023-11-03,139,,GSW,L 139-141,240,50,83,0.602,35,54,0.648,15,29,0.517,24,30,0.8,139,49,92,0.533,31,52,0.596,18,40,0.45,25,30,0.833,141
77,MIL,2023-11-03,110,,NYK,W 110-105,240,35,82,0.427,15,43,0.349,20,39,0.513,20,28,0.714,110,38,96,0.396,28,57,0.491,10,39,0.256,19,25,0.76,105
78,DEN,2023-11-03,125,,DAL,W 125-114,240,49,93,0.527,36,63,0.571,13,30,0.433,14,19,0.737,125,41,86,0.477,24,44,0.545,17,42,0.405,15,17,0.882,114
79,HOU,2023-11-04,107,,SAC,W 107-89,240,40,87,0.46,27,51,0.529,13,36,0.361,14,20,0.7,107,32,84,0.381,21,43,0.488,11,41,0.268,14,19,0.737,89
80,PHI,2023-11-04,112,,PHO,W 112-100,240,43,90,0.478,32,60,0.533,11,30,0.367,15,18,0.833,112,32,89,0.36,23,54,0.426,9,35,0.257,27,33,0.818,100
81,IND,2023-11-04,124,,CHO,L 124-125,240,45,93,0.484,23,48,0.479,22,45,0.489,12,16,0.75,124,47,88,0.534,39,68,0.574,8,20,0.4,23,23,1.0,125
82,ORL,2023-11-04,120,,LAL,W 120-101,240,46,101,0.455,34,68,0.5,12,33,0.364,16,19,0.842,120,37,84,0.44,29,54,0.537,8,30,0.267,19,21,0.905,101
83,MIN,2023-11-04,123,,UTA,W 123-95,240,45,81,0.556,36,57,0.632,9,24,0.375,24,31,0.774,123,35,91,0.385,23,48,0.479,12,43,0.279,13,17,0.765,95
