Rk,Player,MP,Season,Lg,Team,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,+/-,Player-additional
460,Anthony Black,1883,2024-25,NBA,ORL,78,10,1883,262,620,.423,200,425,.471,62,195,.318,150,197,.761,.521,52,178,230,240,86,48,139,166,736,7.2,-1.9,-40,blackan01
461,Andrew Nembhard,1883,2024-25,NBA,IND,65,65,1883,247,539,.458,196,364,.538,51,175,.291,108,136,.794,.545,34,182,216,326,79,11,112,149,653,9.0,-2.3,206,nembhan01
462,Nic Claxton,1885,2024-25,NBA,BRK,70,62,1885,320,568,.563,315,547,.576,5,21,.238,79,154,.513,.569,157,358,515,157,62,100,87,150,724,10.5,0.4,-497,claxtni01
463,Josh Green,1890,2024-25,NBA,CHO,68,67,1890,180,421,.428,83,173,.480,97,248,.391,49,72,.681,.559,56,116,172,108,74,15,70,165,506,5.5,-4.3,-364,greenjo02
464,Guerschon Yabusele,1893,2024-25,NBA,PHI,70,43,1893,282,563,.501,178,289,.616,104,274,.380,100,138,.725,.616,134,261,395,148,58,24,87,164,768,9.6,-1.0,-118,yabusgu01
465,Gary Trent Jr.,1894,2024-25,NBA,MIL,74,9,1894,283,657,.431,103,224,.460,180,433,.416,78,92,.848,.591,20,148,168,87,72,4,42,124,824,7.8,-1.6,70,trentga02
466,Jrue Holiday,1901,2024-25,NBA,BOS,62,62,1901,254,573,.443,146,267,.547,108,306,.353,70,77,.909,.565,76,189,265,239,66,27,77,101,686,10.1,0.7,339,holidjr01
467,Naji Marshall,1917,2024-25,NBA,DAL,69,31,1917,362,712,.508,302,494,.611,60,218,.275,130,160,.813,.584,76,252,328,208,70,11,112,109,914,10.8,-0.8,-137,marshna01
468,Keon Johnson,1927,2024-25,NBA,BRK,79,56,1927,303,779,.389,177,378,.468,126,401,.314,107,139,.770,.499,63,234,297,175,82,30,116,209,839,6.9,-3.3,-423,johnske07
469,Julian Champagnie,1933,2024-25,NBA,SAS,82,29,1933,276,665,.415,98,185,.530,178,480,.371,85,94,.904,.577,67,251,318,111,61,35,74,114,815,7.6,-1.3,-67,champju02
470,Kyle Kuzma,1936,2024-25,NBA,MILWAS,65,62,1936,370,848,.436,274,535,.512,96,313,.307,128,202,.634,.514,54,316,370,152,36,19,146,119,964,9.0,-4.9,-419,kuzmaky01
