Rk,Team,Date,PTS,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
1170,SAC,2021-11-07,91,,IND,L 91-94,240,31,84,.369,21,50,.420,10,34,.294,19,22,.864,91,37,83,.446,31,58,.534,6,25,.240,14,18,.778,94
1171,MIN,2021-10-30,91,,DEN,L 91-93,240,35,89,.393,22,48,.458,13,41,.317,8,9,.889,91,36,88,.409,27,51,.529,9,37,.243,12,16,.750,93
1172,HOU,2021-10-28,91,,UTA,L 91-122,240,31,95,.326,22,51,.431,9,44,.205,20,23,.870,91,41,85,.482,25,39,.641,16,46,.348,24,30,.800,122
1173,SAC,2022-04-03,90,,GSW,L 90-109,240,31,81,.383,24,48,.500,7,33,.212,21,24,.875,90,41,79,.519,25,45,.556,16,34,.471,11,15,.733,109
1174,ORL,2022-03-20,90,,OKC,W 90-85,240,32,83,.386,25,52,.481,7,31,.226,19,24,.792,90,30,92,.326,17,44,.386,13,48,.271,12,18,.667,85
1175,MIA,2022-03-09,90,,PHO,L 90-111,240,35,88,.398,25,55,.455,10,33,.303,10,13,.769,90,45,99,.455,34,62,.548,11,37,.297,10,10,1.000,111
1176,CHO,2022-01-30,90,,LAC,L 90-115,240,32,98,.327,24,64,.375,8,34,.235,18,27,.667,90,44,84,.524,33,56,.589,11,28,.393,16,19,.842,115
1177,LAL,2021-12-21,90,,PHO,L 90-108,240,34,87,.391,27,52,.519,7,35,.200,15,23,.652,90,41,93,.441,29,52,.558,12,41,.293,14,15,.933,108
1178,MIL,2021-12-18,90,,CLE,L 90-119,240,35,89,.393,23,51,.451,12,38,.316,8,11,.727,90,45,90,.500,29,45,.644,16,45,.356,13,14,.929,119
1179,TOR,2021-12-10,90,,NYK,W 90-87,240,30,87,.345,18,52,.346,12,35,.343,18,23,.783,90,29,81,.358,20,47,.426,9,34,.265,20,24,.833,87
1180,MIA,2021-12-06,90,,MEM,L 90-105,240,35,76,.461,29,54,.537,6,22,.273,14,17,.824,90,38,89,.427,25,56,.446,13,33,.394,16,21,.762,105
1181,POR,2021-12-06,90,,LAC,L 90-102,240,35,79,.443,30,57,.526,5,22,.227,15,20,.750,90,41,92,.446,30,56,.536,11,36,.306,9,14,.643,102
